id;dataEntrevista;statusEntrevista
1;22.07.20;0
2;22.01.20;0
3;13.07.21;0
4;01.08.20;0
5;22.07.21;0
6;17.10.19;0
7;20.02.20;1
8;08.04.21;0
9;20.02.21;1
10;07.02.21;1
11;16.12.20;1
12;08.04.21;0
13;03.02.21;1
14;30.08.20;1
15;15.08.21;0
16;04.02.21;1
17;10.09.21;1
18;06.09.20;0
19;21.01.21;1
20;17.09.20;0
21;02.02.20;0
22;07.01.20;1
23;27.05.21;0
24;28.05.20;0
25;03.12.20;1
26;15.12.19;1
27;21.12.20;0
28;28.12.19;1
29;13.10.20;0
30;14.11.19;0
31;26.12.19;0
32;25.07.20;1
33;29.02.20;0
34;27.03.21;1
35;12.09.21;0
36;26.10.19;1
37;12.04.20;1
38;26.09.20;1
39;17.05.21;0
40;15.01.20;0
41;04.02.20;0
42;10.10.20;1
43;09.02.21;0
44;01.02.21;1
45;11.04.21;1
46;02.09.20;1
47;17.09.20;1
48;03.09.21;0
49;22.11.19;1
50;25.01.20;1
51;13.09.20;1
52;02.02.21;1
53;08.11.19;1
54;04.09.21;0
55;10.09.21;1
56;29.05.21;0
57;23.08.20;1
58;26.11.19;0
59;09.03.21;1
60;27.10.19;1
61;07.10.20;1
62;09.09.20;1
63;05.05.20;0
64;26.05.20;0
65;06.01.21;1
66;06.08.21;1
67;14.02.21;1
68;23.09.20;0
69;14.08.21;1
70;20.07.20;0
71;18.09.20;0
72;07.01.21;0
73;06.06.20;1
74;01.01.21;0
75;16.05.21;1
76;02.09.20;1
77;18.01.20;0
78;14.08.21;1
79;08.06.21;0
80;20.09.21;0
81;26.04.20;0
82;03.12.19;0
83;15.06.21;0
84;28.10.19;0
85;05.11.19;1
86;28.01.21;0
87;22.08.20;0
88;21.02.20;1
89;30.09.21;0
90;23.06.21;0
91;29.01.20;1
92;25.12.19;1
93;14.07.21;1
94;10.09.21;1
95;10.01.20;0
96;29.04.20;0
97;22.07.21;1
98;10.01.20;0
99;17.09.21;0
100;09.02.21;0
